site,MHD,MHD,MHD,ZEP,ZEP,ZEP,THD,THD,THD,JFJ,JFJ,JFJ,RPB,RPB,RPB,SMO,SMO,SMO,CGO,CGO,CGO
box,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3
var,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability
2000-07-01,259.8975067138672,0.189248,1.3706332,,,,260.0889892578125,0.16758542,0.26615945,,,,259.9237091064453,0.18298349,0.19430819,257.6109924316406,0.18573616,0.32152802,256.77199999999993,0.18735727528089857,0.29720540601227513
2000-08-01,259.49310913085935,0.18992653,1.182866,,,,259.72759399414065,0.17099328,0.25627035,,,,259.7497924804687,0.18346605,0.2910058,257.4523986816406,0.36588755,0.49254075,256.8451,0.16773257653061183,0.3137701049920956
2000-09-01,259.4703033447266,0.2034158,0.6869272,,,,259.80579833984376,0.17140992,0.5593259,,,,259.46519165039064,0.20687759,0.37279046,257.5030914306641,0.23241173,0.3880444,256.6844,0.32203207430340597,0.33521488047998077
2000-10-01,259.6894897460937,0.27107376,0.3451562,,,,260.07501220703125,0.19396286,0.5204619,,,,259.4887939453125,0.3188417,0.39335653,257.5889892578125,0.51470035,0.32636857,256.64799999999997,0.19547654255319083,0.2311462326741308
2000-11-01,259.89109191894534,0.3267576,0.4748008,,,,260.30780029296875,0.23073672,0.3605015,,,,259.369189453125,0.3546325,0.3475205,257.7467071533203,3.2707703,0.33281597,256.76919999999996,0.18295714285714337,0.17158405673291527
2000-12-01,260.031005859375,0.22854537,1.3592613,,,,260.2699890136719,0.19482009,0.7963334,,,,259.3804077148437,0.282977,0.3083674,257.4491943359375,0.19356835,0.55307186,256.58849999999995,0.2041259797297297,0.1973705231491069
2001-01-01,260.16460571289065,0.18343902,2.374157,,,,260.093994140625,0.22706655,0.8719956,,,,259.12799072265625,0.30625647,0.332704,257.8789978027344,3.6825962,0.32145104,256.06419999999997,0.22455979848866456,0.30085530195867977
2001-02-01,259.6365051269531,0.27049503,0.5328311,,,,259.77099609375,0.20063378,0.35356474,,,,259.1197875976562,0.2874538,0.2586535,257.8273986816406,0.19390358,0.37645108,255.769,0.38143890566037714,0.5761718038906513
2001-03-01,259.47621154785156,0.25727585,1.6663932,,,,259.423193359375,0.22196311,0.3502472,,,,258.7659912109375,0.20837519,0.25855318,257.43919677734374,0.19690219,0.4870247,255.4868,0.20599032911392456,0.25294015524592334
2001-04-01,258.8825927734375,0.2721604,0.65778905,,,,259.3659973144531,0.2090988,0.24020699,,,,258.63820190429686,0.29300734,0.2033815,256.69349670410156,0.22979094,0.6136626,255.0488,0.1869282425742574,0.4403800314658395
2001-05-01,258.5720916748047,0.21317029,1.8423531,,,,258.96320190429685,0.19784752,0.35025072,,,,258.3068054199219,0.22314472,0.23759307,256.3354064941406,0.20985508,0.46896327,255.06400000000002,0.17292317535545057,0.32797022015806593
2001-06-01,258.20599365234375,0.22669159,0.6447265,,,,258.4129943847656,0.19375712,0.3279067,,,,258.11431274414065,0.24369058,0.25825462,256.5981018066406,0.18544178,0.25242496,255.1764,0.2389514716981134,0.3649702525531556
2001-07-01,257.7381958007812,0.20337981,0.5735082,,,,257.9836059570313,0.19076283,0.90608,,,,257.9289855957031,0.21679279,0.23393802,256.2349853515625,0.20898663,0.53645754,255.4523,0.2017674731182801,0.2836585743888497
2001-08-01,257.06280517578125,0.35578826,0.7706379,,,,257.5098083496094,0.19915004,0.32863364,,,,257.5998046875,0.20183976,0.39377025,256.28419799804686,0.2031752,0.40753585,255.3888,0.23042005167958646,0.29577751083765247
2001-09-01,257.0989990234375,0.474694,1.0744864,,,,257.43670959472655,0.3209774,2.2268538,,,,257.3210144042969,0.20432666,0.33282936,255.91299438476562,0.20570457,0.3211685,255.343,0.1964957458563532,0.3305437104163457
2001-10-01,257.577392578125,0.30468446,0.5521126,,,,257.831396484375,0.498622,1.9569179,,,,257.2877990722656,0.2371834,0.33884382,255.98079681396484,0.24328221,0.44230595,255.18509999999998,0.19886763819095493,0.20325827016123665
2001-11-01,257.9440002441406,0.23384257,0.32618117,,,,257.6968017578125,0.5094421,0.8680473,,,,257.37269287109376,0.2278503,0.31974304,255.5635955810547,0.22134918,0.45335206,255.0398,0.18573520094562646,0.19393331741460046
2001-12-01,258.0060119628906,0.2392228,1.32872,,,,257.67401123046875,0.46803582,0.51357824,,,,257.5332916259766,0.26299837,0.31722692,255.29400634765625,0.24028817,0.58234894,254.8455,0.18237865470852,0.17830142393711537
2002-01-01,257.6629943847656,0.25323826,0.49481174,,,,257.46580200195314,0.4497262,0.5387002,,,,257.3824005126953,0.26457453,0.28928855,255.84500122070312,0.19051045,0.38735473,254.64180000000002,0.198174032697547,0.19451612004434074
2002-02-01,257.389501953125,0.33329383,0.39084774,,,,257.3234069824219,0.40186474,0.5025055,,,,257.1425018310547,0.29931554,0.2621343,255.58919677734374,0.21303366,0.40655616,254.35299999999998,0.1903632418952613,0.2277895759472462
2002-03-01,257.29381103515624,0.28440338,0.90430534,,,,257.2384094238281,0.33571136,0.86317307,,,,256.9440002441406,0.21665823,0.21467724,255.50340270996094,0.22386342,0.39350832,253.9718,0.20092162601626043,0.28930757337156326
2002-04-01,256.8446014404297,0.2251034,1.0989317,,,,257.060400390625,0.34321207,0.40332028,,,,256.82289733886716,0.21950263,0.21690899,254.99480285644532,0.25781152,0.40577456,253.7812,0.1693773267326729,0.534906350769055
2002-05-01,256.5530090332031,0.2416951,0.74162316,,,,256.5158996582031,0.33904305,0.42217404,,,,256.3324890136719,0.25330183,0.3006147,254.4929962158203,0.24720156,0.3957357,253.5063,0.17583806220095669,0.4563154583052503
2002-06-01,256.13470764160155,0.2303637,0.37171528,,,,256.24180297851564,0.36965573,0.45082322,,,,256.1039978027344,0.3547764,0.27797058,254.38680114746094,0.22631608,0.3620266,253.4052,0.2374325130890056,0.37475114985462793
2002-07-01,255.7854034423828,0.23857507,0.27121118,,,,255.59960174560547,0.43198746,1.4249187,,,,255.77559356689454,0.34214708,0.28975093,254.57439727783202,0.26815024,0.2715911,253.386,0.218544515366431,0.3315534953492764
2002-08-01,255.2935028076172,0.2398109,0.6933525,,,,255.21770172119142,0.44464222,0.77168685,,,,255.7010040283203,0.3323843,0.2768792,254.11380004882812,0.23972593,0.41110843,253.4318,0.20438487499999997,0.25407183831064445
2002-09-01,255.35909423828124,0.20477326,1.3642393,,,,255.32639770507814,0.4541865,0.79439324,,,,255.17839965820312,0.39225027,0.4153318,253.96299743652344,0.24644178,0.35877097,253.2413,0.2705450507614208,0.32495222433755944
2002-10-01,255.3979949951172,0.23601417,1.3846085,,,,255.69000244140625,0.35780448,0.7577654,,,,255.23389434814453,0.37799963,0.36559334,253.7677978515625,0.24555546,0.3852363,252.9864,0.23472265671641784,0.4456110329527932
2002-11-01,255.61720275878906,0.3143929,0.44288698,,,,255.66930541992187,0.3493237,0.7560242,,,,255.48710021972656,0.48226556,0.34602225,253.9166046142578,0.26519006,0.32478723,252.783,0.22923244382022545,0.2532997229448299
2002-12-01,255.82340087890626,0.40552452,1.5322051,,,,255.6084945678711,0.40765437,0.80520415,,,,255.3300018310547,0.50841475,0.3579052,253.29660034179688,0.23346126,0.53039545,252.4472,0.21635730120481805,0.20890176861858603
2003-01-01,255.47300720214844,0.23440935,0.44837162,,,,255.1746032714844,0.51829946,0.69308347,,,,255.3488998413086,0.3733211,0.28189468,253.74789581298828,0.26406088,0.48466226,251.93740000000003,0.1839154916067143,0.25120697383380236
2003-02-01,255.39650268554686,0.23462695,1.7728617,,,,255.28599548339844,0.41099963,0.62268245,,,,255.1084976196289,0.27714545,0.25851142,252.891796875,0.26859376,0.6046527,251.574,0.18423401234567915,0.24518295739232907
2003-03-01,255.2605987548828,0.22659364,2.4663455,,,,255.0836929321289,0.40320015,0.4309066,,,,254.88299560546875,0.30307147,0.241028,253.5030029296875,0.2729333,0.42096144,251.4086,0.19103673024523163,0.39759729070337435
2003-04-01,255.1559036254883,0.40507954,1.5016104,,,,254.95599365234375,0.42348844,0.49764618,,,,254.7258056640625,0.2646176,0.25141793,253.03179931640625,0.26928666,0.4835551,251.195,0.19611671280276807,0.29869393744603706
2003-05-01,254.73209533691406,0.270349,1.1352859,,,,254.7987030029297,0.4234884,0.4995208,,,,254.41200256347656,0.3415697,0.32202378,252.59290161132813,0.2578088,0.38476443,251.37,0.3417585373134328,0.345962715761555
2003-06-01,254.1999969482422,0.24663247,0.54849803,,,,254.3092041015625,0.4608055,0.57127255,,,,254.11959838867188,0.315099,0.31259865,252.15870361328126,0.31417084,0.34452552,251.2762,0.21512914209115305,0.2924445939911489
2003-07-01,253.58699798583984,0.2200253,0.54554284,,,,253.85900115966797,0.5396979,0.5635169,,,,253.93390045166015,0.36186224,0.31849203,252.42459564208986,0.24140437,0.34818634,251.4875,0.17728287564766837,0.4121486020236341
2003-08-01,253.13939971923827,0.24103317,1.1894094,,,,253.21249694824218,0.564579,0.58263457,,,,253.75579681396485,0.28350174,0.3141973,252.31719665527345,0.2437647,0.40948004,252.044,0.22410815656565614,0.31871410950168005
2003-09-01,253.16819915771484,0.24084309,0.6661855,,,,253.4134963989258,0.33053577,0.88755345,,,,253.36880340576172,0.3517855,0.4340667,252.21029663085938,0.20990583,0.37783656,251.96200000000002,0.25215832500000057,0.2681691055527006
2003-10-01,253.6601989746094,0.29313403,1.6533225,,,,253.7239990234375,0.21419528,0.7818518,,,,253.2299011230469,0.43064117,0.55882967,252.14820251464843,0.21705408,0.33042297,251.9083,0.18348302030456876,0.20137287744865986
2003-11-01,254.05860290527343,0.26147732,1.0846072,,,,253.8260040283203,0.28678137,0.469609,,,,253.23420104980468,0.40207657,0.45777538,251.96719512939453,0.23410359,0.38909966,251.8333,0.19626158192090376,0.18306758452853503
2003-12-01,254.10800170898438,0.24560688,0.44840014,,,,254.17159729003907,0.32837155,0.4264334,,,,253.6132019042969,0.40608874,0.4102108,251.9746063232422,0.37991193,0.5049516,251.5182,0.2228255137844613,0.23515645436226484
2004-01-01,253.63820190429686,0.39680722,0.3812048,,,,253.8520050048828,0.24032155,0.48548803,,,,253.41099548339844,0.37767777,0.39622262,251.4008026123047,0.26318273,0.6535705,251.18400000000003,0.21371872222222277,0.22937166185440316
2004-02-01,253.51510162353514,0.35763958,0.4363608,,,,253.66600036621094,0.21750924,0.5939213,,,,253.00140380859375,0.47363135,0.5971164,251.77999877929688,0.22077776,0.3721927,250.813,0.20767147959183704,0.22154835103162548
